BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
6,"","MPJ08","Museux, J.-M.; Peeters, M.; Jo\ {a}o Santos, M.","Legal, political and methodological issues in confidentiality in the European Statistical System","",5262,,"","324-334",2008,"#A_H#","","https://link.springer.com/chapter/10.1007/978-3-540-87471-3_27","Proc. International Conference on Privacy in Statistical Databases","","","Lecture Notes in Computer Science","Domingo-Ferrer, J.; Saygın, Y.","Springer","","","","","","","The paper discusses the challenges linked to the need of the research community to have access to microdata files for scientific purposes. These needs have to be adequately balanced with the legal requirement of preserving the confidentiality of respondents. The paper presents the policies and instruments available at the European Union to progress in the supply of data to the research community, while respecting the legal requirements. More specifically, the paper explains the current process dealing with research projects and the work of the European Statistical System Network (ESSnet) project for statistical disclosure control. Finally the paper describes future trends that are currently investigated in the European Union, and more specifically the development of remote access facilities, the enhancement of disclosure control tools and the convergence towards common policies in Member States.","","","",""
6,"","MRR18","Martins Ferreira, P.; R\'emond-Tiedrez, I.; Rueda-Cantuche, J. M.","QDR methodology: Understanding bilateral trade flows in the European Union","",,,"","",2018,"","\href{https://www.iioa.org/conferences/26th/papers/files/3338.pdf}{Online abstract}","https://www.iioa.org/conferences/26th/papers/files/3348_20180515021_iioa2018_QDR.pdf","Proc. International Input-Output Conference","","","","","","","","","","","","Trade asymmetry has been a well-known fact and there are extensive literature and reports about the causes for those asymmetries. There is also a  recognised effort made by trade statisticians for mitigate trade asymmetry over time. Notwithstanding the positive achievements that have been made so far, to build an Inter-Country Supply, Use and Input-Output tables (IC-SUIOT) we more than low trade asymmetry: we need no trade asymmetry at all. The European Statistical System (ESS) has an extensive and rich amount of trade data and a lot of resources are devoted to measure trade flows. Nevertheless, the customs union of the EU adds another challenge regarding trade in goods statistics: Member-States declare imports/exports for customs or tax purposes without thisMember State having acquired ownership of the goods,  i.e. declare quasi-transit as well. While relevant  for physical  flow of  trade, quasi-transit and re-exports distort the geographical economic relationship among Member-States and therefore they should be identified and taken into account in the framework of IC-SUIOT. QDR methodology was developed in order to address the specificities of trade in goods in EU by providing a way to estimate  consolidated trade flows, i.e. solving trade asymmetries, between two countries by three types of trade: quasi-transit (Q), domestic (D) and re-export (R). For quasi-transit and re-exports the intermediary country between that takes part of the physical  flow between origin and destination is also identified. QDR methodology was used in FIGARO project and it revealed very useful for identifying  relevant trade relationships within countries.","","","",""
6,"","RAR16","R\'emond-Tiedrez, I.; Amores, A. F.; Rueda-Cantuche, J. M.","Development of a quality adjusted labour productivity index in the European Union \textendash Example of the employment embodied in European exports","",,,"","",2016,"","","https://www.iioa.org/conferences/24th/papers/files/2341.pdf","Proc. International Input-Output Conference","","","","","","","","","","","","The  paper will introduce the methodology for the Quality Adjusted Labour Index (QALI) in the European Union which combines macro-data from  National Accounts (which are the benchmarked data)  and micro-data from the EU statistics of the Labour Force survey (LFS) and the Structural Earnings Survey (SES). The Quality Adjusted Labour Input is constructed for the EU-28, EA-19 and each EU MS, whenever data are available, for the  full time series from 2002 to 2013, with possible extension to 2014. Survey-based data of hours worked and earnings for 2002-2007 are converted from NACE Rev.1.1to  NACE  Rev.2. The QALI values by EU Member State are weighted by skills,  by age and by combinations of skill and age groups. The industry breakdown varies depending on countries due to reliability/confidentiality constraints of the survey data: 21 industries (A21) for some countries, EU28 and EA19; 10 industries (A10); and the total economy. Connected to the decomposition of the volume by type of workers (by age and by skill), the results will give interesting insights on what kind of employment is supported by European exports in terms of age, qualifications,  and in which industrial activities. The results will be based on the European consolidated Supply, Use and Input-Output Tables produced annually by Eurostat.","","","",""
6,"","RB19","Ricciato, F.; Bujnowska, A.","Privacy and data confidentiality for Official Statistics: New challenges and new tools","",,,"March","",2019,"","","https://coms.events/ntts2019/data/x_abstracts/x_abstract_190.pdf","Proc. New Techniques and Technologies for Statistics (NTTS)","","","","","","","","","","","","The modern society is undergoing a process of massive datafication. The availability of new digital data sources represents an opportunity for Statistical Offices (SO) to complement traditional statistics as well as to produce novel statistical products with improved timeliness and relevance. However, such opportunities come with important challenges in almost every aspect – methodological, business models, data governance,regulation, organizational and others. The new scenario calls for an evolution of the modus operandi adopted by SO also with respect to privacy and data confidentiality, that is the focus of the present contribution. We propose here a discussion framework focused on the prospective combination of advanced Statistical Disclosure Control (SDC) methods with Secure Multi-Party Computation (SMC) techniques.","","","",""
6,"","RBWHB19","Ricciato, F.; Bujnowska, A.; Wirthmann, A.; Hahn, M.; Barredo-Capelot, E.","A reflection on privacy and data confidentiality in Official Statistics","",,,"","",2019,"","","https://www.bis.org/ifc/events/isi_wsc_62/ips177_paper3.pdf","Proc. International Statistical Institute (ISI) World Statistics Congress","","","","","","","","","","","","The  availability of new digital data sources represents an opportunity for Statistical  Offices (SO) to complement traditional statistics and/or deliver novel statistics with improved timeliness and relevance. Nowadays SOs are  part of a larger "data ecosystem" where different organizations, including public institutions and private companies, engage in  the collection and processing of different kinds of (new) data about citizens, companies, goods etc.  In this multi-actors scenario it is often desirable to let one organization extract some output statistics (i.e., aggregate information) from input data that are held by other organization(s) in different administrative domain(s). We refer to this problem as cross-domain statistical processing. To achieve this goal, the most intuitive approach - but not the only one - is  to exchange raw input data across administrative domains (organizations). However, this  strategy is not always viable when personal input data are involved, due to a combination of regulatory constraints (including lack of explicit legal basis for data sharing), business confidentiality, privacy  requirements, or a combination of the above. Furthermore, new data sources often embed a much more pervasive view about individuals than traditional survey and/or administrative data, an aspect that amplifies the potential risks of data concentration. In such cases, performing cross-domain  statistical processing requires technologies to elicit only the agreed-upon output information (exactly or approximately) without revealing the input data. This entails addressing two  distinct but complementary problems. First, we need to compute the desired output statistics without seeing the raw input data. Second, we need to control the amount of information that might be inferred about individual data subjects in the input dataset from the output. In the field of privacy engineering the notions of "input privacy" and "output privacy" are used to refer respectively to these two problems. We remark that these problems are separable, i.e., they can be addressed with distinct tools and methods that get combined together, overlaid or juxtaposed. In this contribution we review recent advances in  both fields and briefly discuss their complementary roles. As for input privacy, we provide a brief introduction to the fundamental principles of Secure Multi-Party Computation (SMPC). As for output privacy, we review recent advances in the field of Statistical Disclosure Control (SDC). Finally, we discuss possible scenarios for SMPC and SDC integration in the future "confidentiality engineering" setup of modern official statistics.","","","",""
6,"","RDWSS18","Ricciato, F.; De Meersman, F.; Wirthmann, A.; Seynaeve, G.; Skaliotis, M.","Processing of Mobile Network Operator data for Official Statistics: The case for public-private partnerships","",,,"","",2018,"","\href{http://www.dgins2018.ro/wp-content/uploads/2018/10/17-MNO-data-for-Official-Statistics-DGINS_v35b_final-1.pdf}{Online presentation}","http://www.dgins2018.ro/wp-content/uploads/2018/10/17-MNO-data-for-Official-Statistics-DGINS_v35b_final.pdf","Proc. Conference of the Directors General of the National Statistical Institutes (DGINS)","","","","","","","","","","","","This paper discusses various aspects related to the potential partnership between Statistical Offices (SO) and Mobile Network Operators (MNO) to leverage MNO data for the computation of official statistics.MNO data are complementary to other data sources that are already available to SOs (e.g., survey data, administrative registers)and  their combination can lead to a new generation of statistical products, delivered more timely and with better spatio-temporal resolution than traditional statistics. This enables statisticians to gain more accurate and up-to-date insight into various aspects of human mobility and related socio-economic phenomena (e.g., tourism flows, presence and residence, commuting patterns, use of transportation means among others) with clear advantages for the process of policy design and evaluation based on such statistics.The cooperation between SO and MNO can be designed to prevent potential conflicts  between the  public and  private interests, e.g. by the provision of adequate protection for business  confidentiality, methodological quality  and process transparency. We argue that partnering with SO brings direct and indirect benefits also to the MNOs, particularly in terms of empowering the portfolio of commercial analytic products they can offer to business customers. Synergies between the production of official statistics and commercial analytic products can be positively leveraged within the framework of a well-designed partnership model. By doing so, the SO-MNO partnership does not represent as a risk to the MNO business nor a diminution of the role and independency of SO, but rather as an additional opportunity for both sides. While the focus of this paper is on partnership models between SOs and MNOs, many elements of the discussion apply as well to private data holders from other sectors, and may contribute to advance the future vision of public-private partnerships for joint data analytics.","","","",""
6,"","Ricciato18","Ricciato, F.","Towards a reference methodological framework for processing MNO data for Official Statistics","",,,"","",2018,"","","http://www.15th-tourism-stats-forum.com/pdf/Papers/S3/3_1_A_Reference_Methodological_Framework_for_processing_mobile_network_operatordata_for_official_statistics.pdf","Proc. Global Forum on Tourism Statistics","","","","","","","","","","","","Mobile network signalling data, captured from the continuous interaction of mobile terminals with the cellular network, have better spatial/temporal resolution than traditional Call Detail records (CDR). However, their format and semantic are intimately connected with network-specific technical aspects. For this reason, such data are considerably more complex and have a higher degree of heterogeneity across different Mobile Network Operators (MNO). It is difficult for experts outside the telecommunication domains, such as e.g. statisticians, to interpret and manipulate such data directly. In the proposed contribution we present a general Reference Methodological Framework (RMF) intended to facilitate the use of signalling data by statisticians. The RMF is inspired by the principles of functional layering and by the "hour-glass model", which lie at the foundation of modern computer network architectures. The RMF encompasses a convergence layer that decouples the complexity of signalling data at the bottom from the statistical definitions on the top. This allows experts from the two domains, MNO engineers and statisticians, to work independently and eases the evolution of the two layers.This paper presents the general principles underlying the RMF, the role and responsibilities of the different actors in transforming elemental data into meaningful and relevant statistical concepts, provides a concrete actionable proposal and presents early results from its application in a pilot project conducted in collaboration between Eurostat and one European MNO. We highlight lessons learned and give an outlook for the future development and implementation of the RMF and its application to tourism statistics and other areas of statistics.","","","",""
6,"","RLW19","Ricciato, F.; Lanzieri, G.; Wirthmann, A.","Towards a methodological framework for estimating present population density from Mobile Network Operator data","",,,"","",2019,"","","https://ec.europa.eu/eurostat/cros/system/files/mno_spatial_density_ricciato_lanzieri_wirthmann_2019_v1.pdf","Proc. workshop on the use of Administrative Data and Social Statistics","","","","","","","","","","","","The concept of 'present population' is gaining increasing attention in official statistics. The (almost) continuous measurement of present population provides a basis to derive indicators of population exposure that are relevant in different application domains. One possible approach to measure  present population exploits data  from  Mobile Network Operators (MNO), including CDR but also more  informative (and  complex) signalling records. Such data, collected primarily for network operation processes, can be repurposed to infer patterns of human mobility. Two decades of research literature have produced several case studies (mostly limited to CDR data) and a variety of ad-hoc methodologies tailored to specific datasets. Moving  beyond  the stage of explorative research, towards production of official  statistics, requires a more systematic and sustainable approach to methodological development. Towards this aim, Eurostat and other members of the European Statistical System (ESS are working towards the definition of a general Reference Methodological Framework.  In this contribution we report on the methodological aspects related to the estimation of present population density, for which we present a general and modular methodological structure. Along the way, we identify a number of specific  research (sub)problems requiring further attention by the research community.","","","",""
6,"","RM10","Reuter, W. H.; Museux, J.-M.","Establishing an infrastructure for remote access to microdata at Eurostat","",6344,,"","249-257",2010,"#A_H#","","https://link.springer.com/chapter/10.1007%2F978-3-642-15838-4_22","Proc. International Conference on Privacy in Statistical Databases","","","Lecture Notes in Computer Science","Domingo-Ferrer, J.; Magkos, E.","Springer","","","","","","","Eurostat is pursuing the establishment of an infrastructure for remote access for researchers in order to satisfy the growing demand for microdata. Some European countries already implemented such solutions. This paper compares the systems which can be categorized in (1) terminal server, (2) distance network and (3) job submission systems. They differ in IT infrastructure, workstation control, user management and authentication, file systems and disclosure control activities. The second part of the paper describes the efforts and outlook as well as options and challenges for Eurostat when building such a system.","","","",""
6,"","RRAVR18","Rueda-Cantuche, J. M.; Roman, M. V.; Amores, A. F.; Valderas Jaramillo, J. M.; R\'emond-Tiedrez, I.","Employment effects of EU services exports to the rest of the world by modes of supply using the Eurostat's EU inter-country input-output tables","",,,"","",2018,"","","https://www.iioa.org/conferences/26th/papers/files/3345.pdf","Proc. International Input-Output Conference","","","","","","","","","","","","Services are increasingly delivered across borders under various modes of supply and gaining higher shares over all the economic activities.  However, the availability of statistics on the international supply of services detailed by services category, mode of supply and partner country is limited  and at the same time critically important for trade policy making. Based on the most recent Eurostat published data, this paper presents the first attempt to estimate the employment effects by modes of supply using official statistics and the Eurostat's experimental EU Inter-country Input-Output Table (FIGARO Project).","","","",""
6,"","RRVMRVAR18","Rueda-Cantuche, J. M.; R\'emond-Tiedrez, I.; Velazquez-Afonso, A.; Martins Ferreira, P.; Rocchi, P.; Valderas Jaramillo, J. M.; Amores, A. F.; Roman, M. V.","From theory to practice: What makes the European Union’s inter-country supply, use and input-output tables different?","",,,"","",2018,"","\href{https://www.iioa.org/conferences/26th/papers/files/3338.pdf}{Online abstract}","https://www.iioa.org/conferences/26th/papers/files/3338_20180515031_iioa2018_FIGARO_main.pdf","Proc. International Input-Output Conference","","","","","","","","","","","","The  Eurostat-JRC  project  "Full  International  and  Global  Accounts  for  Research  in  Input-Output Analysis" (FIGARO) has produced experimental  EU-Inter Country Supply, Use and Input-Output Tables for the year 2010 in line with the ESA 2010 methodology. Setting up a European Inter-country  Supply, Use and Input-Output Table implies the compilation of a balanced view of international trade consistent with National Accounts data. It is therefore absolutely necessary to: (a) reconcile the trade asymmetries and provide one single trade flow for each bilateral transaction between partners; and (b) align the trade figures with National Accounts data, in order to capture, for instance, the potential environmental, social and economic effects of supply and demand shocks on the national economies via the existing global  value (and supply) chains. The paper describes methodological issues raised by the construction process of the Inter-country Supply, Use and Input-Output Tables: e.g. econometric estimations  of  cif/fob margins; econometric estimations of missing bilateral services trade; alignment of trade statistics and national accounts data: e.g. goods sent abroad for processing, merchanting activities.","","","",""
6,"","RSWGR18","Ricciato, F.; Skaliotis, M.; Wirthmann, A.; Giannakouris, K.; Reis, F.","Towards a reference architecture for Trusted Smart Statistics","",,,"","",2018,"","","https://www.researchgate.net/publication/328215827_Towards_a_Reference_Architecture_for_Trusted_Smart_Statistics","Proc. Conference of the Directors General of the National Statistical Institutes (DGINS)","","","","","","","","","","","","In this contribution we outline the concept of Trusted Smart Statistics as the natural evolution of official statistics in the new datafied world, where traditional data sources (survey and administrative data) represent a valuable but small portion of the global data stock, much thereof being held in the private sector. In order  to  move towards practical implementation of this vision a Reference Architecture for Trusted Smart Statistics is required, i.e., a coherent system of technical, organisational and legal means combined to provide an articulated set of trust guarantees to all involved players. In this paper we take a first  step in this direction by proposing selected design principles and system components that, as of the current state of play, we believe will be part of the final design. The goal of this contribution is not to propose a ready-made fully-fledged solution, but rather build awareness about the necessary elements (technological and not) and fuel the discussion with the relevant stakeholders.","see also: http://www.dgins2018.ro/wp-content/uploads/2018/10/25-DGINS_paper_TSS_architecture_V20_final-1.pdf","","",""
6,"","RV19","R\'emond-Tiedrez, I.; Valderas Jaramillo, J. M.","The Eurostat's balanced view of trade in services","",,,"","",2019,"","","https://www.iioa.org/conferences/27th/papers/files/3736.pdf","Proc. International Input-Output Conference","","","","","","","","","","","","Asymmetries due to the mismatching in  the data  provided by one country and the mirror flow provided by its partner country for the  same  transactions are an  important issue in trade statistics, especially when it comes to link all European Union (EU) economies as in the FIGARO dataset. Although at EU level, balance of payments statisticians and trade in services statisticians follow up regularly on the asymmetries and try to reduce  them, we needed to implement a methodology for compiling a balanced view of trade in services as an input to the EU inter-country supply, use and input-output tables.For  the  first  release of FIGARO tables for the year 2010, the 2010  international  trade in services data (ITSS) serves as the  primary input.  Their exports and imports (or mirror exports)  are subsequently cleaned, imputed, estimated, modelled and confronted with Balance of Payments data to get a full dataset for 29 countries (EU Member States plus USA), 30 partner countries (plus RoW) and a number of services items.  The balancing of the resulting exports and import  values to solve the bilateral trade asymmetries is based on the methodology   developed   by   the   European Commission and  the OECD. As the EU inter-country supply, use and input-output tables present economies using the activity and product classification, the last step is to bridge the balanced trade view of the data from services categories to product classification (CPA/CPC). The paper  summarises the steps as compiled for the 2010 tables and shows the way foreseen to improve the compilation steps for the time series  2010-2016.  We also evaluate the impact on the original input data of each of the steps involved.","","","",""
6,"","RVR19","Rueda-Cantuche, J. M.; Velazquez-Afonso, A.; R\'emond-Tiedrez, I.","Traceability of the assumptions made in the construction of the EU inter-country supply, use and input-output tables","",,,"","",2019,"","\href{https://www.iioa.org/conferences/27th/papers/files/3855.pdf}{Online abstract}","https://www.iioa.org/conferences/27th/papers/files/3855_20190423101_FIGARO_book_chapter13.pdf","Proc. International Input-Output Conference","","","","","","","","","","","","The modular approach adopted  in the construction of the EU inter-country supply, use and input-output tables (Figaro  project) to map the different adjustments and imputations made to the original data allows each adjustment/imputation to be measured at the different stages of the compilation process. As a result, this paper provides summary statistics based on: the comparison between the international merchandise and services trade  data adjusted for goods sent abroad for processing and merchanting activities and the trade values in the  national available SUTs (i.e. discrepancies); the analysis of the row and column total discrepancies by countries, users and products; the analysis of the final balancing adjustments made to  estimate  the  inter-country use table without discrepancies, by countries, users and products.This analysis provides useful information for the user of the FIGARO tables and helps producers in: highlighting the importance of the scope of some of the statistics they produce; identifying what type of  data is still missing from national statistical offices; and identifying where to put more efforts in future revisions. All these aspects are relevant for the compilation process.","","","",""
6,"","RW19","Ricciato, F.; Wirthmann, A.","Trusted Smart Statistics: How new data will change Official Statistics","",,,"","",2019,"","","https://zenodo.org/record/3066061/files/ricciato_wirthmann_Data4Policy_2019.pdf","Proc. Data for Policy conference","","","","","","","","","","","","In this discussion paper we outline the motivations and the main principles of the Trusted Smart Statistics concept under development in the European Statistical System (ESS) to respond to the challenges posed by the prospective use of innovative digital data sources for the production of official statistics.","","","",""
6,"","RWH19","Ricciato, F.; Wirthmann, A.; Hahn, M.","Integrating alternative data sources into Official Statistics: A system-design approach","",,,"June","",2019,"","","http://www.unece.org/fileadmin/DAM/stats/documents/ece/ces/2019/ECE_CES_2019_32_Eurostat.pdf","Proc. Conference of European Statisticians (CES)","","","","","","","","","United Nations Economic Commission for Europe","","","New types of digital data sources (or "big data") are now available as by-product of other technological processes. New data  sources differ from the traditional data sources in use  for official  statistics, namely survey data and administrative records,  along  multiple dimensions. Therefore, the adoption of new data sources for the regular production of official statistics requires innovations  at  multiple  levels,  including  new  processing  paradigms, computation methods, data access and governance models, staff skills, etc. The term "Trusted Smart  Statistics" was  put  forward by Eurostat to indicate  a  comprehensive  framework to evolve official statistics towards adoption of new data sources along with traditional ones. In this document we  focus  on  the  need to take  a  systemic  view,  and  in  general  a system-design  approach,  towards  the  development of novel  processing  methodologies  for new types of data. We argue for the need to identify selected 'classes' of new data types (e.g., mobile network operator data, smart energy meters, satellite images, etc.) and, for each class, to  build a general  Reference Methodological Framework as basis for  developing  specific methodologies for particular use-cases and statistical products. We discuss the principles that should inform the construction of such framework, and briefly report on the ongoing work being conducted at Eurostat for one particular class of data, namely mobile network operator data.","Note presented by Eurostat to the "New data sources \textendash{} Accessibility and use" session","","",""
6,"","SM18","Salvati, M.; M\'esz\'aros, M.","Introduction to "flagr"","",,,"","",2018,"","","http://r-project.ro/conference2018/uRos2018.pdf#page=54","Proc. conference on use of R in Official Statistics (uRos)","","","","","","","","","","","","The object of this paper is to present the R package 'flagr' that is in development in Eurostat for facilitating the internal revision of the use of flags and flagging of aggregates in dissemination. The 'flagr' package provides general functions following the methodological guidelines suggested by the SDMX for the aggregate. The package provides three different functions how the individual flags can be transferred to the aggregate.The first one is the hierarchy of the SDMX flags suggested by the implementation guidelines. This method compares all flags of a given dataset and keeps the flag for the aggregate with the highest score on the SDMX hierarchy or in a personally specified order. The second method counts the occurrences of the flags in the underlying data and the flag for the aggregate will be the flag that has the highest count. The last method not only counts the frequency of a flag is represented in the dataset, but also it also it takes into account the weight of the individual values, as the contribution of the corresponding individual value to the aggregate. The flag, which has the highest summed weight, is used for the flag of the aggregate if it is above a certain threshold.","","","",""
6,"","SWFL19","Selenius, J.; Wirtz, C.; Florescu, D.; Lazar, A. C.","Agricultural census 2020 \textendash How to reduce costs and burden? The European Statistical System approach","",,,"","",2019,"","","","Proc. International Statistical Institute (ISI) World Statistics Congress","","","","","","","","","","","","","","","",""
6,"","VM18","V\^aju, S. C.; M\'esz\'aros, M.","Administrative data and quality \textendash Guidelines towards better quality of administrative data","",,,"","",2018,"","\href{https://www.q2018.pl/wp-content/uploads/Sessions/Session%2037/M%C3%A1ty%C3%A1s%20M%C3%A9sz%C3%A1ros/Session%2037_Matyas%20Meszaros.pptx}{Online presentation}","https://www.q2018.pl/wp-content/uploads/Sessions/Session%2037/M%C3%A1ty%C3%A1s%20M%C3%A9sz%C3%A1ros/Session%2037_Matyas%20Meszaros.docx","Proc. Quality conference","","","","","","","","","","","","Statistical authorities need to produce data faster in a cost effective way, to become more responsive to users' demands, while at the same time providing high quality output. One way to fulfil this is to make more use of already available data sources, and in particular administrative sources, most typically used in combination with other sources. Depending on the use of the administrative sources and the data configuration different statistical tasks must be applied. Usually it is not only one task but a sequence of different tasks that have to be applied, for example, data integration, imputation and editing or tabulation. For these tasks different methods are available and depending on the input data quality and the data configuration the same method can have limited use or produce lower quality outputs. The use of administrative data sources risks impacting negatively quality on several dimensions, in particular accuracy and comparability. Surveys and administrative sources have both particular strengths and weaknesses. Combining them may overcome these weaknesses, provided that suitable methodology and tools are used. At the same time, harmonised measures of quality for outputs that combine administrative sources with other sources (surveys) are necessary to ensure that European Union official statistics are of sufficient quality and fit for their intended use. This paper looks at the most frequent methodological challenges faced when integrating administrative sources and provides, for typical situations, preferred methods to have the best quality of statistical output. It also introduces the work of ESSnet on the Quality of Multisource Statistics (KOMUSO) to develop quality measures and guidelines related to the use of administrative sources.","","","",""
6,"","VRRR18","Velazquez-Afonso, A.; Rocchi, P.; Rueda-Cantuche, J. M.; R\'emond-Tiedrez, I.","Making the circle square: treatment of goods sent abroad for processing in the construction of the European Union’s inter-country supply, use and input-output tables","",,,"","",2018,"","\href{https://www.iioa.org/conferences/26th/papers/files/3347.pdf}{Online abstract}","https://www.iioa.org/conferences/26th/papers/files/3347_20180515071_iioa2018_FIGARO_GSA.pdf","Proc. International Input-Output Conference","","","","","","","","","","","","The extension from national to inter-country Supply, Use and Input-Output tables (SUIOTs) consists in splitting national SUTs domestic exports (FOB) by country of destination (and importing industry) and by type of use (intermediate or final), which in turn produces indirect estimations of imports of intermediate and final goods and services among countries of origin (and exported products). It could also be the other way round, splitting national SUTs imports by countries of origin, as in the WIOD approach. The two approaches should not differ, in principle, as long as the view of bilateral  trade among countries is balanced at the level of each good and service and both exports and imports are valued in FOB. However, this is not the case in official statistics, mostly due to trade asymmetries and the different valuation of exports (FOB) and imports (CIF). This  paper however justifies the  first choice for various reasons and put a special focus on the treatment of goods sent  abroad  for processing, including some indications about the necessary assumptions made in the absence of official data about trading partners and type and destination of the processed goods.","","","",""
6,"","WSL19","Wirtz, C.; Selenius, J.; Lazar, A. C.","Modernisation of the European Agricultural Statistics System (EASS): Strategy for agricultural statistics 2020 and beyond","",,,"","",2019,"","","","Proc. International Statistical Institute (ISI) World Statistics Congress","","","","","","","","","","","","","","","",""
5,"","Bach18","Bach, F.","Statistical disclosure control in geospatial data: The 2021 EU Census example","",,,"","365-384",2018,"","","https://link.springer.com/content/pdf/10.1007\%2F978-3-319-72434-8.pdf","Service-Oriented Mapping \textendash{} Changing Paradigm in Map Production and Geoinformation Management","18","","Lecture Notes in Geoinformation and Cartography","D\"ollner, J.; Jobst, M.; Schmitz, P.","Springer","","","","","","","This chapter outlines challenges and modern approaches in statistical disclosure control of official high-resolution population data on the example of the EU census rounds 2011 and 2021, where a particular focus is on the European 1 km grid outputs derived from these censuses. After a general introduction to the topic and experiences from 2011, the recommended protection methods for geospatial data in the planned 2021 census 1 km grids are discussed in detail.","","","",""
5,"","BIM18","Buono, D.; Infante, E.; Mazzi, G. L.","Short versus long time series: An empirical analysis","",,,"","669-680",2018,"","","https://ec.europa.eu/eurostat/documents/3859598/8939616/KS-GQ-18-001-EN-N.pdf","Handbook on {S}easonal {A}djustment","25","","","","Publications Office of the European Union","","","","","","","Most of the literature on business cycle analysis relies, as input, on the seasonally adjusted (SA) data of the main economic indicators. The rationale is that the seasonal frequencies are different from the frequencies of the cycles, then seasonal movements do not carry useful information, moreover they can hide the information on the frequencies of interest in business cycle analysis. This idea is coherent with the literature on SA that rests on the hypothesis of orthogonality among the seasonal and the others components. For several reasons this hypothesis can fail and an interaction between seasonal and business cycles can arise. This work address the plausibility of this hypothesis and a first study on the effect that different seasonal adjustment algorithms can have on the business cycle analysis due to their different ability in separating the seasonal from the other frequencies. Empirically the evidence or the presence of interactions can be hardly detectable. There are several reasons: components are unobservable as well as their connections, consequently. Moreover, the series are often characterized by instability, and/or evolutionary behaviour of the components. Aim of this work can be summarized in: empirical investigation of the effects of a variety of SA methods on two aspects: the cyclical shape of the series and the turning point dating. The focus is on the growth cycle. The approach will be historical, and then no real time exercises is run.","","","",""
5,"","Bujnowska19","Bujnowska, A.","Access to European Statistical System microdata","",,,"","87-99",2019,"","","https://www.springer.com/gp/book/9783319784601","Data-Driven Policy Impact Evaluation \textendash{} How Access to Microdata is Transforming Policy Design","","","","Crato, N.; Paruolo, P.","Springer","","","","","","","","","","",""
5,"","CS14","Chiappero-Martinetti, E.; Sabadash, A.","Integrating human capital and human capabilities in understanding the value of education","",,,"","206-230",2014,"London, UK","MPRA Paper 61800","https://link.springer.com/content/pdf/10.1057%2F9781137001436.pdf","The Capability Approach: From Theory to Practice","9","","","Ibrahim, S.; Tiwari, M.","Palgrave Macmillan","","","","","","","The aim of this chapter is to investigate the possibility of combining human capital theory (HCT) and the capability approach (CA) in order to better understand and measure both the instrumental and the intrinsic values of education for individuals, and to trace its relative spillover effects on societies. HCT, pioneered by Schultz and Becker in the early 1970s, has since become an important part of the debate on economic growth and development. Recently, HCT has been criticised for the narrow instrumental role that it assigns to education (inasmuch as HCT disregards some of important non-material aspects of education), as well as for its inability to satisfactorily reflect the cultural, gender-based, emotional and historical differences that can influence educational choices and individual well-being.","see also https://mpra.ub.uni-muenchen.de/61800/1/MPRA_paper_61800.pdf","","",""
5,"","Eiselt16","Eiselt, B.","LUCAS-Erhebung: Boden\-bedeckung und Boden\-nutzung in der EU","",,,"","",2016,"","","http://slub.qucosa.de/api/qucosa\%3A16825/attachment/ATT-0/","Fl{\"a}chen\-nutzungs\-monitoring {VIII}. Fl{\"a}chen\-sparen \textendash{} {\"O}ko\-system\-leis\-tungen \textendash{} {H}andlungs\-strategien","","","","Meinel, G.; F{\"o}rtsch, D.; Schwarz, S.; Kr{\"u}ger, T.","","","","","","","","","","","",""
5,"","GLM18","Gatto, R.; Ladiray, D.; Mazzi, G. L.","The effect of alternative seasonal adjustment methods on business cycle analysis","",,,"","629-654",2018,"","","https://ec.europa.eu/eurostat/documents/3859598/8939616/KS-GQ-18-001-EN-N.pdf","Handbook on {S}easonal {A}djustment","23","","","","Publications Office of the European Union","","","","","","","Seasonal adjustment procedures are usually designed for being applied on sufficiently long time series in order to obtain good quality results. This is due both to technical reasons such as the properties of the symmetric filters used and to non-technical ones such as the fact that, over a sufficiently long time period, components can be better identified and separated; consequently, the seasonal component can be more precisely estimated and eventually removed. In addition, long time series are required in order to read properly the statistics of the seasonality tests. Furthermore, on short time series the seasonality tests might be less robust. In official statistics, available time series associated to statistical indicators are often relatively short or subject to some shortening processes. This seems to contradict one of the main quality dimensions of statistics which is the coverage, but, at the same time, official statistics need to be continuously improved to better reflect the socio-economic structure. This process unavoidably leads to regularly adapting existing official statistics to evolving socio-economic structure. Furthermore better reflecting the current socio-economic situation can also require the development and the statistical compilation of new indicators, which at least in a first phase will cover only a limited time span. These two processes imply, at least temporarily, the availability of short time series associated to the statistical indicators.","","","",""
